p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.52991672179287e-113,1.05922310879947,0.984,0.637,4.78879233088387e-109,0,RNF220
1.52995539878756e-94,0.846457899593226,1,0.59,4.78891339374493e-90,0,CTNNA3
1.72818731273436e-90,0.924423073654668,0.988,0.522,5.40939910758982e-86,0,ST18
1.33169752628741e-85,1.02456699108478,0.863,0.427,4.16834642703222e-81,0,POLR2F
3.00864350738069e-84,0.616665378383112,0.996,0.883,9.41735504245229e-80,0,DLG2
1.71011847676008e-80,0.92007525418589,0.934,0.509,5.35284184410671e-76,0,DPYD
3.2676350376794e-78,0.78442948958466,0.976,0.582,1.02280244314403e-73,0,FRMD4B
4.95757540519233e-78,0.77913490552216,0.986,0.667,1.55177067757925e-73,0,FRMD5
4.75710717963663e-77,0.810378001772628,0.932,0.541,1.48902211829806e-72,0,PXK
1.26454350347722e-75,0.90923808796029,0.859,0.469,3.95814762023404e-71,0,HIP1
1.97505472565894e-74,0.73969078362829,0.98,0.626,6.18211879678505e-70,0,DOCK10
3.75843747590078e-71,0.674198446886994,0.968,0.734,1.1764285143317e-66,0,DIP2B
4.66083288496821e-70,0.675981750286098,0.99,0.862,1.4588873013239e-65,0,SIK3
2.95876893268367e-69,0.761413038595309,0.853,0.392,9.26124263619315e-65,0,CERCAM
4.5418444346504e-68,0.694949151707051,0.992,0.85,1.42164272648992e-63,0,PPP2R2B
6.25996355937948e-67,0.574913165155412,1,0.888,1.95943119372137e-62,0,PCDH9
1.33245823501411e-66,0.884761749668888,0.896,0.463,4.17072752141766e-62,0,SLC7A14-AS1
2.43265200773948e-65,0.707765582126911,0.986,0.588,7.61444404942534e-61,0,SLC24A2
1.91560714226407e-64,0.702082118254189,0.972,0.682,5.99604191600076e-60,0,DLG1
5.36748622308252e-64,0.567431899399987,0.996,0.942,1.68007686268706e-59,0,QKI
1.05140269957222e-63,0.698617510429336,1,0.651,3.29099558993099e-59,0,IL1RAPL1
1.84620134593181e-62,-1.32777190238901,0.155,0.579,5.77879483290117e-58,0,FTL
3.7081171528712e-62,0.630199817773809,0.984,0.793,1.16067775002021e-57,0,PHLPP1
4.39244782444023e-62,-1.57060660471152,0.267,0.642,1.37488009352804e-57,0,FTH1
9.97454049862113e-62,0.770338772025291,0.871,0.453,3.1221309214734e-57,0,MYO1D
8.22901405021993e-61,0.711246913315923,0.91,0.568,2.57576368785934e-56,0,DOCK5
1.10237252507683e-59,0.73416035987609,0.96,0.65,3.45053624074298e-55,0,NKAIN2
2.02638228152957e-59,0.809069950669101,0.691,0.269,6.34277917941571e-55,0,SEC14L5
9.05986932216376e-59,0.737165710373129,0.908,0.522,2.83582969653048e-54,0,SLCO3A1
4.43378482115455e-58,-1.40964028791711,0.5,0.727,1.38781898686958e-53,0,PTGDS
1.21977929826345e-57,0.689063491097592,0.948,0.551,3.81803118149443e-53,0,PRUNE2
2.71184707933198e-57,0.634775272206683,0.902,0.478,8.48835254301704e-53,0,PLEKHH1
3.18076432424132e-57,0.531154436953202,0.996,0.867,9.95611041130776e-53,0,MAGI2
1.3178408905416e-56,0.808192590350952,0.765,0.376,4.12497377148427e-52,0,SHROOM4
1.33782224075484e-56,0.634020730288994,0.873,0.546,4.18751739578673e-52,0,USP54
1.4957441266326e-56,0.506446620278858,0.988,0.844,4.68182869077271e-52,0,CCDC88A
1.65146613024827e-55,0.675944339655701,0.938,0.512,5.16925413429012e-51,0,KCNH8
2.58730359363903e-55,0.64085832737968,0.878,0.495,8.09851897844952e-51,0,CLMN
2.68409324783066e-55,0.62864945012272,0.986,0.636,8.40148027503474e-51,0,SLC44A1
1.98113902024019e-54,0.638393363076314,0.968,0.581,6.20116324725382e-50,0,SPOCK3
6.07262972105771e-54,0.648663930249444,0.932,0.635,1.90079382898827e-49,0,PDE8A
1.07047912249017e-53,0.666923193816726,0.92,0.524,3.35070670130649e-49,0,C10orf90
2.96847779340105e-53,0.750020714320417,0.817,0.479,9.29163234112461e-49,0,SAMD12
4.20686592691404e-53,0.680022091142794,0.829,0.496,1.31679110378336e-48,0,PSEN1
6.06340170419036e-53,0.725312550785962,0.681,0.285,1.89790536742863e-48,0,CD22
3.62610162405747e-52,-1.67062604918911,0.024,0.396,1.13500606934623e-47,0,CELF2
8.11002868220957e-52,0.70583655467974,0.926,0.629,2.53852007781842e-47,0,UNC5C
1.14900827229658e-51,0.65409318001742,0.892,0.585,3.59651079311551e-47,0,APBB2
1.17863275333766e-51,0.629032010441187,0.91,0.52,3.68923838122222e-47,0,ZNF536
2.02330148170611e-51,0.589380415070004,0.94,0.726,6.33313596788828e-47,0,AGAP1
2.63609334878042e-51,0.79924369512768,0.841,0.415,8.25123579101759e-47,0,AC012494.1
2.80619448292745e-51,0.632915007651599,0.93,0.575,8.78366935101122e-47,0,TMEM165
2.96346067042578e-51,0.846394585411244,0.639,0.248,9.27592824449973e-47,0,PIEZO2
8.93302320495942e-51,0.776417190284861,0.735,0.368,2.79612559338435e-46,0,PCSK6
1.7746783501868e-50,0.633443612652308,0.9,0.462,5.5549207039197e-46,0,MOBP
4.28112011595097e-50,0.750546532669292,0.843,0.508,1.34003340749381e-45,0,SGK1
4.53391932671355e-50,0.725664965117233,0.88,0.515,1.41916208845461e-45,0,KIRREL3
8.00795087715724e-50,0.692696698052475,0.755,0.363,2.50656870405899e-45,0,FA2H
1.22674234521383e-49,0.724856951462862,0.823,0.474,3.83982621475382e-45,0,DSCAML1
3.9039230195566e-49,0.590524583701732,0.98,0.642,1.22196694435141e-44,0,PIP4K2A
4.16029249685431e-49,0.695774034679262,0.727,0.358,1.30221315444037e-44,0,RFFL
6.1178419522566e-49,0.739448440853705,0.829,0.475,1.91494570947584e-44,0,ANO4
6.36604922280469e-49,0.671365867941023,0.853,0.474,1.9926370672301e-44,0,AK5
6.64646593262542e-49,0.644416313896858,0.833,0.451,2.08041030157108e-44,0,SH3D19
7.95081829212057e-49,0.706247047431752,0.865,0.45,2.48868563361666e-44,0,LINC01608
9.35555742630742e-49,0.56469710248099,0.988,0.816,2.92838303000849e-44,0,PDE4B
